post_id,title,category,score,num_comments,author,collected_at
47716490,FBI used iPhone notification data to retrieve deleted Signal messages,technology,241,99,01-_-,2026-04-10 20:20:40
47704804,How NASA built Artemis II’s fault-tolerant computer,technology,499,190,speckx,2026-04-10 20:20:41
47717587,OpenAI backs Illinois bill that would limit when AI labs can be held liable,technology,311,200,smurda,2026-04-10 20:20:43
47708697,"Show HN: QVAC SDK, a universal JavaScript SDK for building local AI applications",technology,18,4,qvac,2026-04-10 20:20:53
47678844,Show HN: Marimo pair – Reactive Python notebooks as environments for agents,technology,57,9,manzt,2026-04-10 20:20:56
47712656,We've raised $17M to build what comes after Git,technology,222,479,ellieh,2026-04-10 20:20:57
47709158,Charcuterie – Visual similarity Unicode explorer,technology,276,64,rickcarlino,2026-04-10 20:21:04
47707632,"Instant 1.0, a backend for AI-coded apps",technology,186,92,stopachka,2026-04-10 20:21:08
47706141,Research-Driven Agents: When an agent reads before it codes,technology,196,51,hopechong,2026-04-10 20:21:10
47674950,An AI robot in my home,technology,61,22,kukanani,2026-04-10 20:21:12
47713113,"The Raft consensus algorithm explained through ""Mean Girls"" (2019)",technology,113,25,vermilingua,2026-04-10 20:21:13
47718458,Tech job relocation market is recovering. The competition is growing faster,technology,8,0,andrewstetsenko,2026-04-10 20:21:15
47702541,A WebGPU implementation of Augmented Vertex Block Descent,technology,145,22,juretriglav,2026-04-10 20:21:23
47689550,"LLM plays an 8-bit Commander X16 game using structured ""smart senses""",technology,26,4,russellharper,2026-04-10 20:21:29
47687273,Git commands I run before reading any code,technology,2255,484,grepsedawk,2026-04-10 20:21:34
47695666,Show HN: Druids – Build your own software factory,technology,55,12,etherio,2026-04-10 20:21:38
47702196,"Show HN: CSS Studio. Design by hand, code by agent",technology,158,97,SirHound,2026-04-10 20:21:39
47709251,Netflix Prices Went Up Again – I Bought a DVD Player Instead,technology,230,251,speckx,2026-04-10 20:21:51
47700972,Reallocating $100/Month Claude Code Spend to Zed and OpenRouter,technology,334,221,kisamoto,2026-04-10 20:21:56
47701233,Claude mixes up who said what,technology,443,339,sixhobbits,2026-04-10 20:21:57
47660434,C# in Unity 2026: Writing more modern code,technology,76,98,hacker_13,2026-04-10 20:22:05
47710782,The Training Example Lie Bracket,technology,30,15,pb1729,2026-04-10 20:22:10
47704285,Clean code in the age of coding agents,technology,56,85,yanis_t,2026-04-10 20:22:12
47718718,Consumer sentiment plummets to record low as Iran war jacks up inflation,worldnews,13,0,MilnerRoute,2026-04-10 20:22:32
47665890,War on Raze,worldnews,23,14,tosh,2026-04-10 20:22:56
47711623,Mexico's President Sheinbaum Decrees Universal Healthcare for 120M,worldnews,50,25,testing22321,2026-04-10 20:24:13
47692043,Muse Spark: Scaling towards personal superintelligence,worldnews,390,367,chabons,2026-04-10 20:24:21
47677853,GLM-5.1: Towards Long-Horizon Tasks,worldnews,616,262,zixuanlimit,2026-04-10 20:24:40
47680124,IPv6 is the only way forward,worldnews,103,321,quaintdev,2026-04-10 20:25:08
47676557,Moving fast in hardware: lessons from lab to $100M ARR,worldnews,114,26,rryan,2026-04-10 20:25:19
47670981,"Three hundred synths, 3 hardware projects, and one app",worldnews,125,19,ductionist,2026-04-10 20:25:27
47660954,German police name alleged leaders of GandCrab and REvil ransomware groups,worldnews,323,160,Bender,2026-04-10 20:26:01
47662945,Show HN: GovAuctions lets you browse government auctions at once,worldnews,318,90,player_piano,2026-04-10 20:26:32
47656682,Winners of the 2026 Kokuyo Design Awards,worldnews,57,18,zdw,2026-04-10 20:27:29
47710608,FCC considers retroactive ban on foreign hardware,worldnews,6,4,topspin,2026-04-10 20:27:36
47709123,How Iran's Information War Machine Operates Online,worldnews,6,0,mikhael,2026-04-10 20:27:38
47677952,The Blueprint of a North Korean Attack on Open-Source,worldnews,32,12,brene,2026-04-10 20:27:45
47683613,ICE acknowledges it is using powerful spyware,worldnews,68,8,dnemmers,2026-04-10 20:28:06
47712641,White House Warns Staff Not to Place Bets on Prediction Markets Amid Iran War,worldnews,11,3,bookofjoe,2026-04-10 20:28:20
47690049,Amazon rewards loyal Kindle devotees by closing the book on old e-readers,worldnews,39,23,beardyw,2026-04-10 20:28:29
47710595,The Iran war depleted US weapons. Rebuilding will require China's cooperation,worldnews,11,0,n1b0m,2026-04-10 20:28:51
47704060,Not just spyware scandals: EU is funding the industry that spies on Europeans,worldnews,8,0,latexr,2026-04-10 20:29:06
47692291,"Digital Hopes, Real Power: How the Arab Spring Fueled a Global Surveillance Boom",worldnews,12,0,hn_acker,2026-04-10 20:29:44
47717514,"Inflation Rose to 3.3% in March, Driven by Rising Fuel Costs",sports,5,0,JumpCrisscross,2026-04-10 20:31:01
47663743,"Show HN: Moon simulator game, ray-casting",sports,107,24,JKCalhoun,2026-04-10 20:31:14
47689165,"Show HN: I pipe free sports streams into Jellyfin – no ads, just HLS",sports,114,36,pruz,2026-04-10 20:32:15
47672778,Breaking the console: a brief history of video game security,sports,96,26,sprado,2026-04-10 20:33:17
47664186,"Battle for Wesnoth: open-source, turn-based strategy game",sports,540,163,akyuu,2026-04-10 20:33:46
